,Date,Time,Duration (hrs),avgCCV,maxCCV,Followers,Views,Title
0,2022-05-13,23:27:00,6.0,71,90,1,0,FRIDAY NIGHT CHATTING MAYBE SCARY GAME TOO?
1,2022-05-12,20:33:00,2.9,122,380,95,0,GET IN HERE HURRY
2,2022-05-10,14:37:00,1.8,65,83,2,0,HELP ME MAKE YOUTUBE VIDEO
3,2022-05-06,20:22:00,1.5,75,90,-2,0,CAUTION: CONSTRUCTION ZONE (BUFF MEN ONLY)
4,2022-05-04,21:05:00,2.0,98,117,5,0,doin MAN SH1T today
5,2022-05-01,23:30:00,2.4,109,133,6,0,SPOOKY GAME NIGHT (PART 2)
6,2022-05-01,00:36:00,3.6,197,509,21,0,SPOOKY GAME NIGHT
7,2022-04-30,00:58:00,2.4,285,496,27,0,Late night shinanigans
8,2022-04-25,23:07:00,6.8,173,433,66,0,Afterhours w your favorite daily streamer
9,2022-04-19,20:23:00,2.9,52,75,64,0,washing my eyeballs
10,2022-04-18,21:15:00,1.8,73,86,-9,0,HELP ME DO MY HOMEWORK
11,2022-04-01,01:16:00,1.8,56,62,-2,84,AFTER HOURS STREAM
12,2022-03-26,23:54:00,2.2,73,90,-3,104,IAN CHECKIN IN
13,2022-03-08,11:51:00,2.0,107,131,82,419,Get in here! Uploading
14,2022-03-08,01:04:00,2.3,171,314,19,370,back from getting milk
15,2022-02-01,02:10:00,2.7,120,224,26,284,completely legit stream (sponsored by voodoo ranger)
16,2022-01-24,03:24:00,1.2,49,69,4,63,avoiding IRS audit tonight
17,2022-01-21,19:13:00,5.5,70,83,3,309,"BIRTHDAY TODAY, IM OLD"
18,2022-01-19,21:05:00,2.1,73,89,-2,145,GET IN NOW ITS SO CHILL
19,2022-01-18,23:39:00,1.8,63,82,1,154,ACTUAL chill night stream
